Geo Point,NAME,STUSAB,"STATE_NAME"
"34.0266235144, -95.5521803129",Choctaw,OK,"Oklahoma"
"46.2298432372, -118.47840308",Walla Walla,WA,"Washington"
"33.1814152277, -100.777569383",Kent,TX,"Texas"
"47.8371764984, -112.240577354",Teton,MT,"Montana"
"36.3672994836, -75.936949201",Currituck,NC,"North Carolina"
"39.1451918976, -84.973258532",Dearborn,IN,"Indiana"
"41.0220807271, -84.131731929",Putnam,OH,"Ohio"
"31.1551977348, -98.8175760649",San Saba,TX,"Texas"
"38.3994422236, -85.4483655316",Oldham,KY,"Kentucky"
"47.1152751471, -101.340308333",Oliver,ND,"North Dakota"
"43.5800235908, -72.5861605978",Windsor,VT,"Vermont"
"19.6023968175, -155.522885864",Hawaii,HI,"Hawaii"
"47.7152823036, -88.2521508057",Keweenaw,MI,"Michigan"
"33.8995497978, -82.3098783777",McCormick,SC,"South Carolina"
"47.1471983625, -114.998338744",Mineral,MT,"Montana"
"39.6662617907, -86.8449997676",Putnam,IN,"Indiana"
"33.7819451825, -82.743226753",Wilkes,GA,"Georgia"
"33.2878507429, -83.9571695116",Butts,GA,"Georgia"
"48.2496100861, -99.9718051015",Pierce,ND,"North Dakota"
"34.5721889489, -84.0026558339",Lumpkin,GA,"Georgia"
"37.2380515699, -76.4425351607",York,VA,"Virginia"
"43.6406015599, -84.8467965535",Isabella,MI,"Michigan"
"36.059057801, -89.4137659493",Dyer,TN,"Tennessee"
"42.1709806276, -71.1838291807",Norfolk,MA,"Massachusetts"
"46.9296269068, -122.832293746",Thurston,WA,"Washington"
"34.2656450828, -78.6550308717",Columbus,NC,"North Carolina"
"32.3014720068, -99.8901220928",Taylor,TX,"Texas"
"43.3775677756, -93.7341954719",Winnebago,IA,"Iowa"
"27.0007781554, -99.1686127905",Zapata,TX,"Texas"
"38.3595724655, -82.6877258112",Boyd,KY,"Kentucky"
"35.5272807264, -87.4930956193",Lewis,TN,"Tennessee"
"36.7777632303, -76.0163281416",Virginia Beach,VA,"Virginia"
"41.6733545588, -71.5790218623",Kent,RI,"Rhode Island"
"36.5946453006, -89.6518318853",New Madrid,MO,"Missouri"
"46.022994757, -121.91478015",Skamania,WA,"Washington"
"34.3424135138, -104.411957888",De Baca,NM,"New Mexico"
"32.8318884986, -92.3748055749",Union,LA,"Louisiana"
"42.3401529673, -72.6637844853",Hampshire,MA,"Massachusetts"
"35.5424444709, -97.9824010419",Canadian,OK,"Oklahoma"
"39.4386164734, -84.5756449351",Butler,OH,"Ohio"
"45.1880453547, -122.220869625",Clackamas,OR,"Oregon"
"40.606258463, -87.310906018",Benton,IN,"Indiana"
"38.4461016023, -87.8442748908",Wabash,IL,"Illinois"
"46.0175261512, -123.716999161",Clatsop,OR,"Oregon"
"42.0362382229, -94.8605592807",Carroll,IA,"Iowa"
"26.5534898513, -81.1659012496",Hendry,FL,"Florida"
"46.2296522668, -106.730712236",Rosebud,MT,"Montana"
"43.5541675519, -85.8009172937",Newaygo,MI,"Michigan"
"38.9147512529, -99.3172316232",Ellis,KS,"Kansas"
"42.8788290644, -99.7123497118",Keya Paha,NE,"Nebraska"
"36.2505340956, -85.9567145693",Smith,TN,"Tennessee"
"36.9316012682, -80.3625657303",Floyd,VA,"Virginia"
"32.7360040875, -84.9089881157",Harris,GA,"Georgia"
"28.3526879602, -98.5678411195",McMullen,TX,"Texas"
"44.1172175226, -73.7727094403",Essex,NY,"New York"
"37.9551831858, -102.393348977",Prowers,CO,"Colorado"
"39.0773714416, -83.0668541556",Pike,OH,"Ohio"
"31.9892401922, -87.3082017869",Wilcox,AL,"Alabama"
"39.5783299005, -75.6389781252",New Castle,DE,"Delaware"
"38.5231613136, -99.3092409497",Rush,KS,"Kansas"
"40.0403785235, -86.8932997962",Montgomery,IN,"Indiana"
"38.9047737146, -77.0163026702",District of Columbia,DC,"District of Columbia"
"38.5645174515, -95.2859482396",Franklin,KS,"Kansas"
"38.8344683216, -81.6747943199",Jackson,WV,"West Virginia"
"34.6310256133, -83.5311320934",Habersham,GA,"Georgia"
"38.05518334, -122.748858563",Marin,CA,"California"
"32.1077245005, -94.7618791398",Rusk,TX,"Texas"
"32.346971275, -84.7870462059",Chattahoochee,GA,"Georgia"
"47.2175378518, -116.658654162",Benewah,ID,"Idaho"
"31.2760599041, -83.229622",Berrien,GA,"Georgia"
"44.335608598, -84.6115999116",Roscommon,MI,"Michigan"
"34.2508713944, -97.2857880387",Carter,OK,"Oklahoma"
"36.578159387, -105.631025824",Taos,NM,"New Mexico"
"31.1261225461, -87.1616198682",Escambia,AL,"Alabama"
"32.7390025581, -108.382455769",Grant,NM,"New Mexico"
"41.5939007094, -83.0199778922",Ottawa,OH,"Ohio"
"34.3736483159, -96.0378479139",Atoka,OK,"Oklahoma"
"35.6466064799, -95.9642646677",Okmulgee,OK,"Oklahoma"
"47.5754617267, -100.34555506",Sheridan,ND,"North Dakota"
"18.2686767455, -66.8667797607",Lares,PR,"Puerto Rico"
"43.3656487303, -87.5944659612",Ozaukee,WI,"Wisconsin"
"43.7197073785, -87.6347744896",Sheboygan,WI,"Wisconsin"
"38.9122413956, -119.616372018",Douglas,NV,"Nevada"
"28.3067419076, -82.438869799",Pasco,FL,"Florida"
"41.6945892724, -106.930610164",Carbon,WY,"Wyoming"
"33.9511687467, -83.3673290793",Clarke,GA,"Georgia"
"33.3164335785, -83.6880895838",Jasper,GA,"Georgia"
"41.4367863214, -75.6091956535",Lackawanna,PA,"Pennsylvania"
"30.3354403303, -81.6480093213",Duval,FL,"Florida"
"35.0025779761, -93.4112514229",Yell,AR,"Arkansas"
"41.7067847215, -98.0672555333",Boone,NE,"Nebraska"
"35.2387731611, -77.6412486292",Lenoir,NC,"North Carolina"
"41.916698107, -97.6007790824",Madison,NE,"Nebraska"
"38.4295611651, -88.4256137919",Wayne,IL,"Illinois"
"18.0231618268, -67.1857585947",Cabo Rojo,PR,"Puerto Rico"
"37.3543505785, -77.0591277659",Charles City,VA,"Virginia"
"37.9550855775, -103.071704571",Bent,CO,"Colorado"
"35.5123637272, -93.8906143781",Franklin,AR,"Arkansas"
"29.3806620653, -89.4819150635",Plaquemines,LA,"Louisiana"
"43.9695394798, -89.7703977477",Adams,WI,"Wisconsin"
"33.9161721803, -80.382316033",Sumter,SC,"South Carolina"
"30.237646533, -85.6326228076",Bay,FL,"Florida"
"37.4690483094, -82.3958631537",Pike,KY,"Kentucky"
"44.499782046, -70.7565745217",Oxford,ME,"Maine"
"32.0176929287, -89.506677525",Smith,MS,"Mississippi"
"37.2288385526, -98.684790626",Barber,KS,"Kansas"
"30.4078429457, -89.9546332243",St. Tammany,LA,"Louisiana"
"27.3808664203, -80.4456030776",St. Lucie,FL,"Florida"
"36.8834465874, -88.3293805253",Marshall,KY,"Kentucky"
"40.610413019, -77.6170419931",Mifflin,PA,"Pennsylvania"
"39.785240911, -101.075705109",Rawlins,KS,"Kansas"
"30.331070985, -82.2845872684",Baker,FL,"Florida"
"36.2774544717, -101.354539211",Hansford,TX,"Texas"
"29.7082609899, -94.6713769479",Chambers,TX,"Texas"
"46.2369933896, -116.426326116",Lewis,ID,"Idaho"
"33.5787842008, -83.1666552038",Greene,GA,"Georgia"
"45.5861252834, -96.0003022919",Stevens,MN,"Minnesota"
"35.6816924709, -82.0493124426",McDowell,NC,"North Carolina"
"37.5457980664, -85.6979139347",Larue,KY,"Kentucky"
"45.064501565, -99.9572518743",Potter,SD,"South Dakota"
"48.6855411394, -99.2457570613",Towner,ND,"North Dakota"
"39.1955341757, -84.5427676729",Hamilton,OH,"Ohio"
"38.0309985368, -98.7174450154",Stafford,KS,"Kansas"
"40.1247748425, -109.51864842",Uintah,UT,"Utah"
"37.3723568684, -78.8125507413",Appomattox,VA,"Virginia"
"36.0109653302, -93.7245618667",Madison,AR,"Arkansas"
"38.1962558627, -83.4210754055",Rowan,KY,"Kentucky"
"37.1925238004, -95.7428780841",Montgomery,KS,"Kansas"
"35.7846556198, -83.5241923117",Sevier,TN,"Tennessee"
"31.525961257, -110.846516905",Santa Cruz,AZ,"Arizona"
"40.9879710088, -91.5445322832",Henry,IA,"Iowa"
"39.8308020875, -92.5646083146",Macon,MO,"Missouri"
"44.5477641459, -99.0049301861",Hand,SD,"South Dakota"
"37.1211921397, -82.8552822542",Letcher,KY,"Kentucky"
"48.7724599221, -99.8409490369",Rolette,ND,"North Dakota"
"38.2391477444, -84.8770681668",Franklin,KY,"Kentucky"
"38.8444981835, -81.11757183",Calhoun,WV,"West Virginia"
"33.2672553197, -91.2939728213",Chicot,AR,"Arkansas"
"34.1338827438, -83.5663480377",Jackson,GA,"Georgia"
"38.6667977063, -107.031700114",Gunnison,CO,"Colorado"
"40.1762856299, -97.5949196014",Thayer,NE,"Nebraska"
"37.9529528516, -98.0860066564",Reno,KS,"Kansas"
"37.0487694369, -76.2954030037",Hampton,VA,"Virginia"
"40.3016413767, -81.9200107367",Coshocton,OH,"Ohio"
"58.2091446546, -135.559082719",Hoonah-Angoon,AK,"Alaska"
"-14.5416136197, -168.16344943",Rose Island,AS,"American Samoa"
"44.8288090199, -72.2438064213",Orleans,VT,"Vermont"
"37.5184174771, -87.6831570963",Webster,KY,"Kentucky"
"33.4828592099, -82.4813683615",McDuffie,GA,"Georgia"
"41.1987931574, -101.661351227",Keith,NE,"Nebraska"
"31.1968761426, -81.9818955745",Brantley,GA,"Georgia"
"45.0311075069, -83.1652010912",Alpena,MI,"Michigan"
"36.8012652397, -84.828631199",Wayne,KY,"Kentucky"
"35.926348429, -85.4551771798",White,TN,"Tennessee"
"40.4154405354, -76.7794746983",Dauphin,PA,"Pennsylvania"
"41.9135060744, -100.555845619",Thomas,NE,"Nebraska"
"31.0376717131, -97.4782023977",Bell,TX,"Texas"
"34.1759559677, -85.6037937156",Cherokee,AL,"Alabama"
"41.8881456263, -74.2585695251",Ulster,NY,"New York"
"43.9117268938, -69.8393089562",Sagadahoc,ME,"Maine"
"43.2041300298, -94.2067199306",Kossuth,IA,"Iowa"
"41.6828527455, -95.8169208876",Harrison,IA,"Iowa"
"42.4279491681, -94.1817743675",Webster,IA,"Iowa"
"37.4127561973, -88.5616201146",Pope,IL,"Illinois"
"43.4433116085, -82.6457538571",Sanilac,MI,"Michigan"
"38.0374914786, -78.4854998848",Charlottesville,VA,"Virginia"
"31.7524339429, -86.6802892154",Butler,AL,"Alabama"
"34.5383440862, -120.030786183",Santa Barbara,CA,"California"
"33.1791243873, -100.253305507",Stonewall,TX,"Texas"
"38.525292575, -122.922544658",Sonoma,CA,"California"
"31.3661921291, -101.523008414",Reagan,TX,"Texas"
"37.555148813, -90.7734903178",Iron,MO,"Missouri"
"38.311825371, -87.584594368",Gibson,IN,"Indiana"
"40.8507725735, -82.9197777024",Crawford,OH,"Ohio"
"40.3876548763, -95.8498160648",Nemaha,NE,"Nebraska"
"38.0423815985, -116.471931336",Nye,NV,"Nevada"
"41.0933920308, -89.7974473885",Stark,IL,"Illinois"
"46.9346483657, -95.673923543",Becker,MN,"Minnesota"
"44.6817581821, -84.1297714192",Oscoda,MI,"Michigan"
"43.5800915709, -73.0366087399",Rutland,VT,"Vermont"
"36.6777445035, -76.3024182804",Chesapeake,VA,"Virginia"
"18.1797326634, -66.7539566203",Adjuntas,PR,"Puerto Rico"
"47.4561506138, -97.7245908845",Steele,ND,"North Dakota"
"44.4760263134, -89.501400671",Portage,WI,"Wisconsin"
"40.1580424715, -90.6150952137",Schuyler,IL,"Illinois"
"41.9143570712, -98.9913852808",Garfield,NE,"Nebraska"
"31.1888694049, -89.2578597971",Forrest,MS,"Mississippi"
"42.3518291045, -89.6622542939",Stephenson,IL,"Illinois"
"18.131132267, -66.2643804492",Aibonito,PR,"Puerto Rico"
"34.0740947769, -100.779828967",Motley,TX,"Texas"
"42.1581860579, -96.5440972071",Thurston,NE,"Nebraska"
"36.712180279, -85.7165195846",Monroe,KY,"Kentucky"
"36.8212977305, -79.3971193907",Pittsylvania,VA,"Virginia"
"42.2532253491, -83.83877051",Washtenaw,MI,"Michigan"
"39.1847403436, -83.6009720963",Highland,OH,"Ohio"
"38.6866603948, -121.90161702",Yolo,CA,"California"
"39.9199582772, -76.7265140685",York,PA,"Pennsylvania"
"36.3116475219, -98.5359514102",Major,OK,"Oklahoma"
"46.4087959622, -95.7080021514",Otter Tail,MN,"Minnesota"
"18.3625469294, -66.2464232226",Toa Alta,PR,"Puerto Rico"
"45.7711313958, -100.051628546",Campbell,SD,"South Dakota"
"32.3484295414, -96.7944846878",Ellis,TX,"Texas"
"35.1469781265, -92.332041157",Faulkner,AR,"Arkansas"
"47.5231709536, -91.4088486044",Lake,MN,"Minnesota"
"41.6167180092, -86.2898576945",St. Joseph,IN,"Indiana"
"37.478191684, -86.8488901965",Ohio,KY,"Kentucky"
"43.4511000415, -116.241166631",Ada,ID,"Idaho"
"42.1174762417, -80.0981063578",Erie,PA,"Pennsylvania"
"45.6296435561, -96.9461134069",Roberts,SD,"South Dakota"
"35.2030564629, -97.3264528463",Cleveland,OK,"Oklahoma"
"45.0387533824, -92.883969287",Washington,MN,"Minnesota"
"35.0219948491, -90.7478115543",St. Francis,AR,"Arkansas"
"31.1743965268, -90.8044314871",Amite,MS,"Mississippi"
"41.6855048252, -93.5735335401",Polk,IA,"Iowa"
"36.6291866782, -96.3984928926",Osage,OK,"Oklahoma"
"35.1338574515, -84.063444228",Cherokee,NC,"North Carolina"
"39.2691704778, -80.70696595",Doddridge,WV,"West Virginia"
"40.1257361849, -122.233884853",Tehama,CA,"California"
"36.6211012796, -88.2722011175",Calloway,KY,"Kentucky"
"41.3366123482, -95.542393077",Pottawattamie,IA,"Iowa"
"33.7902830104, -84.4669897339",Fulton,GA,"Georgia"
"30.9655385978, -95.928410107",Madison,TX,"Texas"
"43.7180195308, -98.5615628976",Aurora,SD,"South Dakota"
"47.7401606201, -103.3952782",McKenzie,ND,"North Dakota"
"45.4905020909, -102.475635949",Perkins,SD,"South Dakota"
"31.4076037932, -88.2078768076",Washington,AL,"Alabama"
"43.6739283199, -93.947999339",Faribault,MN,"Minnesota"
"30.2249615668, -102.07648647",Terrell,TX,"Texas"
"37.5571191153, -79.8123170828",Botetourt,VA,"Virginia"
"32.5554592715, -84.2504642348",Taylor,GA,"Georgia"
"41.8145746206, -79.2741433707",Warren,PA,"Pennsylvania"
"33.7293704444, -113.981607439",La Paz,AZ,"Arizona"
"42.2454540023, -85.5311845383",Kalamazoo,MI,"Michigan"
"38.0443048231, -100.736990786",Finney,KS,"Kansas"
"40.1245363517, -89.3675209057",Logan,IL,"Illinois"
"41.0305845373, -92.4094498846",Wapello,IA,"Iowa"
"36.422718944, -99.265080664",Woodward,OK,"Oklahoma"
"45.2326671224, -123.308162692",Yamhill,OR,"Oregon"
"18.2510736121, -66.1273464876",Aguas Buenas,PR,"Puerto Rico"
"36.7204000351, -77.1061007631",Southampton,VA,"Virginia"
"41.1461539274, -82.5984082765",Huron,OH,"Ohio"
"34.1634980417, -93.6563416658",Pike,AR,"Arkansas"
"39.0182904955, -108.466440182",Mesa,CO,"Colorado"
"39.1993345198, -95.0379114409",Leavenworth,KS,"Kansas"
"38.7282893735, -93.2850962929",Pettis,MO,"Missouri"
"37.7516108062, -108.517265273",Dolores,CO,"Colorado"
"47.5776534848, -95.3790237804",Clearwater,MN,"Minnesota"
"37.0216059108, -122.009787403",Santa Cruz,CA,"California"
"30.2663768834, -98.3998650256",Blanco,TX,"Texas"
"39.2045833383, -78.2625471123",Frederick,VA,"Virginia"
"31.4026271796, -85.9882069262",Coffee,AL,"Alabama"
"45.5138551635, -69.9588160836",Somerset,ME,"Maine"
"30.3002128386, -95.5030137057",Montgomery,TX,"Texas"
"45.3006916099, -111.920256238",Madison,MT,"Montana"
"59.5599920529, -135.336672633",Skagway,AK,"Alaska"
"34.6911781057, -84.4556269832",Gilmer,GA,"Georgia"
"28.4391092686, -96.6150736733",Calhoun,TX,"Texas"
"36.7513165534, -86.1904186693",Allen,KY,"Kentucky"
"48.3694560358, -97.7213240867",Walsh,ND,"North Dakota"
"36.1350244127, -84.6492037421",Morgan,TN,"Tennessee"
"38.1086779015, -105.367471778",Custer,CO,"Colorado"
"40.9558477436, -87.3975365943",Newton,IN,"Indiana"
"36.3816695474, -91.8182352994",Fulton,AR,"Arkansas"
"44.2839056343, -112.351297512",Clark,ID,"Idaho"
"43.6742397821, -95.7533863657",Nobles,MN,"Minnesota"
"42.6899047449, -114.263941364",Jerome,ID,"Idaho"
"36.3410829938, -93.5381811083",Carroll,AR,"Arkansas"
"40.7291866469, -85.2212198576",Wells,IN,"Indiana"
"38.0678786159, -82.7347546613",Lawrence,KY,"Kentucky"
"31.2965068087, -95.9956906534",Leon,TX,"Texas"
"39.2171057452, -106.916577749",Pitkin,CO,"Colorado"
"44.0219511839, -97.6102451711",Miner,SD,"South Dakota"
"18.2890180067, -66.5164422149",Ciales,PR,"Puerto Rico"
"37.854663265, -76.3795212302",Northumberland,VA,"Virginia"
"43.8003788931, -89.0448597042",Green Lake,WI,"Wisconsin"
"33.9931962064, -83.7127549805",Barrow,GA,"Georgia"
"36.2784137139, -100.815653969",Ochiltree,TX,"Texas"
"36.3353843636, -89.493466796",Lake,TN,"Tennessee"
"33.2895498464, -87.525029952",Tuscaloosa,AL,"Alabama"
"37.5501871513, -77.9151942586",Powhatan,VA,"Virginia"
"38.8847267106, -77.1751638221",Falls Church,VA,"Virginia"
"39.9654218536, -81.9443826591",Muskingum,OH,"Ohio"
"46.1125903386, -103.520671138",Bowman,ND,"North Dakota"
"32.7359728732, -99.3540669412",Shackelford,TX,"Texas"
"42.2765197661, -74.1227065013",Greene,NY,"New York"
"42.080174751, -92.0657317334",Benton,IA,"Iowa"
"36.2574485453, -77.6517329831",Halifax,NC,"North Carolina"
"39.7858693359, -101.731104218",Cheyenne,KS,"Kansas"
"33.179875706, -101.298424102",Garza,TX,"Texas"
"36.5111268089, -117.410789686",Inyo,CA,"California"
"36.7164170862, -90.4065563831",Butler,MO,"Missouri"
"34.3176480082, -92.9460691759",Hot Spring,AR,"Arkansas"
"41.0334522634, -95.621326718",Mills,IA,"Iowa"
"34.028211563, -89.7076318397",Yalobusha,MS,"Mississippi"
"30.7289364182, -92.4059042007",Evangeline,LA,"Louisiana"
"37.9233794475, -121.951073113",Contra Costa,CA,"California"
"41.5712867683, -97.5211569987",Platte,NE,"Nebraska"
"29.3556960535, -99.1101310166",Medina,TX,"Texas"
"41.855065982, -72.3365016791",Tolland,CT,"Connecticut"
"37.6689956825, -106.924094646",Mineral,CO,"Colorado"
"38.3189286397, -85.9068307178",Floyd,IN,"Indiana"
"38.5972506332, -119.82065303",Alpine,CA,"California"
"30.7810605096, -102.723570332",Pecos,TX,"Texas"
"35.8478552218, -84.5232421788",Roane,TN,"Tennessee"
"28.9542442328, -96.577680914",Jackson,TX,"Texas"
"41.8300455104, -71.9874782796",Windham,CT,"Connecticut"
"40.4409599145, -81.4737695521",Tuscarawas,OH,"Ohio"
"44.2483385902, -105.548313414",Campbell,WY,"Wyoming"
"35.2957261162, -90.771226853",Cross,AR,"Arkansas"
"33.2642770248, -86.6606484037",Shelby,AL,"Alabama"
"38.7718774775, -77.4450310796",Manassas Park,VA,"Virginia"
"45.423382391, -107.489852538",Big Horn,MT,"Montana"
"42.4877134885, -103.758878789",Sioux,NE,"Nebraska"
"29.6208209311, -96.5262753522",Colorado,TX,"Texas"
"34.5879709683, -99.4147585085",Jackson,OK,"Oklahoma"
"32.8202181268, -91.801797046",Morehouse,LA,"Louisiana"
"39.4815483458, -86.4462121421",Morgan,IN,"Indiana"
"33.0335103757, -85.0283367991",Troup,GA,"Georgia"
"40.7050090829, -123.915819446",Humboldt,CA,"California"
"36.9217518991, -77.261794619",Sussex,VA,"Virginia"
"34.0211833828, -103.4800253",Roosevelt,NM,"New Mexico"
"36.2183807861, -99.754618136",Ellis,OK,"Oklahoma"
"40.5635069447, -74.6163366246",Somerset,NJ,"New Jersey"
"38.1644265021, -79.1338544675",Augusta,VA,"Virginia"
"37.6164789768, -93.4005326616",Polk,MO,"Missouri"
"42.1949698367, -112.539356598",Oneida,ID,"Idaho"
"33.7453078269, -105.459295871",Lincoln,NM,"New Mexico"
"38.8261607682, -85.0369979159",Switzerland,IN,"Indiana"
"43.8738459397, -71.2029939175",Carroll,NH,"New Hampshire"
"38.9173365456, -101.148391114",Logan,KS,"Kansas"
"43.0672901279, -89.4181224369",Dane,WI,"Wisconsin"
"46.3582866004, -101.63966574",Grant,ND,"North Dakota"
"42.9450938315, -85.0746031181",Ionia,MI,"Michigan"
"27.9488714857, -81.6976853961",Polk,FL,"Florida"
"39.2157556331, -91.84158588",Audrain,MO,"Missouri"
"32.8434261558, -80.6496843171",Colleton,SC,"South Carolina"
"36.117697723, -90.5590717273",Greene,AR,"Arkansas"
"38.448468036, -85.1189299735",Henry,KY,"Kentucky"
"41.9147703039, -98.5281860324",Wheeler,NE,"Nebraska"
"37.9469326633, -80.4529516077",Greenbrier,WV,"West Virginia"
"37.1257911242, -82.350353152",Dickenson,VA,"Virginia"
"36.6180054611, -82.1607018861",Bristol,VA,"Virginia"
"41.4450504457, -87.9786458597",Will,IL,"Illinois"
"34.9660190366, -102.604926837",Deaf Smith,TX,"Texas"
"39.3105207472, -94.4208652851",Clay,MO,"Missouri"
"40.9231743916, -91.181482989",Des Moines,IA,"Iowa"
"39.3280985807, -75.1293182687",Cumberland,NJ,"New Jersey"
"30.1036068701, -97.3120103867",Bastrop,TX,"Texas"
"37.1106705529, -84.11780032",Laurel,KY,"Kentucky"
"39.8702114727, -93.107175708",Linn,MO,"Missouri"
"33.6206818158, -95.0503607355",Red River,TX,"Texas"
"31.9739511211, -81.0939703133",Chatham,GA,"Georgia"
"47.6452247762, -105.795424407",McCone,MT,"Montana"
"34.1632936569, -80.2545239336",Lee,SC,"South Carolina"
"42.7023842075, -78.2244395122",Wyoming,NY,"New York"
"36.6826585529, -79.8636317706",Martinsville,VA,"Virginia"
"39.2610229552, -89.924455051",Macoupin,IL,"Illinois"
"38.3005234344, -88.9240091565",Jefferson,IL,"Illinois"
"39.3503577669, -100.441832361",Sheridan,KS,"Kansas"
"39.0345595213, -121.694849665",Sutter,CA,"California"
"32.3750354288, -95.2691826825",Smith,TX,"Texas"
"47.2056646774, -119.451761712",Grant,WA,"Washington"
"28.4173932285, -97.7411901298",Bee,TX,"Texas"
"46.9833438193, -118.560633062",Adams,WA,"Washington"
"37.7846965493, -117.632366036",Esmeralda,NV,"Nevada"
"33.5550489458, -83.8501865375",Newton,GA,"Georgia"
"40.5672969004, -74.9122477682",Hunterdon,NJ,"New Jersey"
"36.2611569307, -87.0867695023",Cheatham,TN,"Tennessee"
"43.0837526517, -95.6248783386",O'Brien,IA,"Iowa"
"33.8033347429, -87.2973573971",Walker,AL,"Alabama"
"32.2202579876, -86.2076142923",Montgomery,AL,"Alabama"
"34.0388755841, -78.2274071617",Brunswick,NC,"North Carolina"
"40.9629715402, -77.0622692252",Union,PA,"Pennsylvania"
"41.3356001857, -91.7178701959",Washington,IA,"Iowa"
"36.4285385751, -84.5035173074",Scott,TN,"Tennessee"
"48.7837971902, -105.548617097",Daniels,MT,"Montana"
"43.082617377, -96.1778828448",Sioux,IA,"Iowa"
"41.402131202, -74.3055376374",Orange,NY,"New York"
